怡海星城,［天心区-暮云］高云路6号
南塘安置小区,［天心区-天心周边］南塘路
红旗织布厂宿舍,［天心区-黄兴路步行街］白沙路360号
披塘二期安置小区,［天心区-友阿奥特莱斯］新开铺路
南湖佳苑,［天心区-黄兴路步行街］南湖路54号
六十码头三十七号小区,［天心区-黄兴路步行街］六十码头巷
下河街社区,［天心区-坡子街］孚嘉巷45号
湘茶大厦,［天心区-坡子街］朝阳巷22号
书院路193号小区,［天心区-黄兴路步行街］书院路193号
湖南剧院宿舍楼,［天心区-坡子街］怡长街
福晟钱隆公馆,［天心区-天心周边］暮云大道
百花巷26号小区,［天心区-黄兴路步行街］百花巷26号
广安里五号楼,［天心区-黄兴路步行街］马厂巷
外贸冷库宿舍,［天心区-黄兴路步行街］火把山巷16号
栗茂巷16、18、20号小区,［天心区-黄兴路步行街］栗茂巷
谢家冲小区,［天心区-友阿奥特莱斯］谢家冲街
创远社区电梯厂宿舍,［天心区-黄兴路步行街］劳动西路18号
商贸城社区,［天心区-天心周边］商贸城47号
古道巷社区,［天心区-黄兴路步行街］小古道巷74号
高压开关厂小区,［天心区-黄兴路步行街］天剑路22号
航道宿舍,［天心区-黄兴路步行街］四村街59号
建工新城,［天心区-友谊路］木莲西路
湖南石油化学工业局小区,［天心区-黄兴路步行街］跃进路135
供水公司小区,［天心区-黄兴路步行街］向东南路,近天剑路
长沙市自来水公司住宅小区,［天心区-黄兴路步行街］白沙路119号
青山小区(东区),［天心区-新省政府南］书香路628号
殷家冲北老石棉厂宿舍,［天心区-友阿奥特莱斯］书院南路507号
顺安大厦,［天心区-黄兴路步行街］南湖路51号
青山小区(西区),［天心区-新省政府南］书香路628号
西湖小区安置房,［天心区-暮云］西湖二路,近西湖大道
熙湘苑,［天心区-友谊路］友谊路,近芙蓉南路
孚嘉巷原044-049号小区,［天心区-黄兴路步行街］孚嘉巷65号
修文街069号小区,［天心区-黄兴路步行街］修文街069号
保利国际公寓,［天心区-书院路］湘江中路,近水厂路
光大发展大厦,［天心区-侯家塘］芙蓉中路三段142号
外贸服装厂宿舍,［天心区-铁道学院］青园路190号
亨璟楼,［天心区-书院路］白沙路380号
天悦和苑,［天心区-柑子园］中意二路
二条巷21号小区,［天心区-黄兴路步行街］二条巷21号
HC新城(别墅),［天心区-新开铺］芙蓉南路,近友谊路
丰和苑,［天心区-暮云］中意二路901号
昆仑和府(商住楼),［天心区-柑子园］中意二路818号
旭辉时代花园,［天心区-天心区政府］桂花坪路219号
九峰远见,［天心区-新省政府南］雀园路,近石碑路
鑫远玲珑,［天心区-天心区政府］刘家冲路,近雀园路
中海新城环宇国际公寓,［天心区-柑子园］中意二路,近新梅路
中海新城熙岸,［天心区-柑子园］中意二路,近新梅路
星语林南壹号,［天心区-暮云］伊莱克斯大道,近芙蓉南路
大众公寓,［天心区-黄兴路步行街］五一西路333号
新时空,［天心区-黄土岭］芙蓉中路三段398号
先锋新宇(二期),［天心区-奥特莱斯广场］托子冲路99号
星电花园(西区),［天心区-南湖路］黄土岭路
海尔鸿玺(别墅),［天心区-奥特莱斯广场］芙蓉南路二段252号
国会山官邸(别墅),［天心区-奥特莱斯广场］万家丽南路
江南华府,［天心区-南湖路］南二环286号
润沁公馆,［天心区-书院路］南湖路
金桂小区C区,［天心区-省政府］万芙中路
冶金大厦,［天心区-书院路］书院路777号
一力小区,［天心区-天心区政府］书院南路
自来水有限公司金盆岭住宅区,［天心区-长沙理工大学］书院南路
长沙市美术公司宿舍,［天心区-白沙路］天心游路69号
学院巷小区,［天心区-南门口］学院巷74号
微生物研究所宿舍,［天心区-新开铺］书院路
旭鸣里交警宿舍,［天心区-省政府］旭明里12号
湘诚万兴,［天心区-新开铺］友谊路528号
药王街小区,［天心区-坡子街］药王街5号
刑警之家,［天心区-书院路］钟馗庙巷91号
省有色地研院单位宿舍,［天心区-书院路］劳动西路
长运锦园,［天心区-省政府］新开铺路
现代雅境园,［天心区-天心区政府］宜春路
中意宿舍,［天心区-长沙理工大学］白沙路304号
现代投资住宅小区,［天心区-芙蓉南路］新姚北路
文庙坪小区,［天心区-解放西路］修文街119号
兴康同和家园,［天心区-友谊路］刘家冲北路122号
颐美沁园,［天心区-书院路］书院路261号
中域蓉城大厦,［天心区-侯家塘］城南西路28号
石人村安置小区,［天心区-新开铺］新韶西路
长沙市地税局宿舍,［天心区-仰天湖］白沙路186号
阳光苑,［天心区-奥特莱斯广场］机场口路180号
先锋新宇,［天心区-大托铺机场口］托子冲路99号
西湖大厦,［天心区-天心周边］姚家巷34号
海富大厦,［天心区-白沙路］城南西路228号
新路小区,［天心区-奥特莱斯广场］新电路
友谊社区别墅区,［天心区-奥特莱斯广场］刘家冲北路
沙湖新村,［天心区-南湖路］南湖路
银桥公寓,［天心区-天心周边］大乐嘉巷9号
省农机宿舍,［天心区-南门口］义茶亭巷4号
政力世纪大厦,［天心区-天心周边］劳动西路199号
望心阁公寓,［天心区-南门口］城南西路90号
信达大厦,［天心区-奥特莱斯广场］黄兴南路90号
新开管委会跃进小区,［天心区-新开铺］南二环
新中路商住楼,［天心区-新开铺］南二环
新开管委会新塘小区,［天心区-新开铺］莲花山巷
新族公寓,［天心区-奥特莱斯广场］裕南街339号
天鸿天福,［天心区-友谊路］竹塘西路177号
园林局宿舍,［天心区-奥特莱斯广场］钟馗庙巷31号
信丰公寓,［天心区-书院路］劳动西路
融和园小区,［天心区-省政府］中意二路
商贸旅游职业技术学院单位房,［天心区-天心区政府］韶山南路578号
鑫隆家园,［天心区-芙蓉南路］木莲西路
省建材院宿舍,［天心区-侯家塘］白沙路121号
南才大厦,［天心区-白沙路］劳动西路149号
肖家冲园丁园,［天心区-友谊路］青园路168号
天凯南苑,［天心区-友谊路］青园路536号
王府小区,［天心区-黄兴路步行街］黄兴中路27号
农机所宿舍,［天心区-芙蓉南路］青园路318号
水工机械厂单位房,［天心区-南湖路］南湖路
润沁园小区,［天心区-南湖路］南湖路86号
水电公司宿舍,［天心区-书院路］天剑路14号
天心一中宿舍,［天心区-书院路］沙湖街
天心雅阁公寓,［天心区-解放西路］白沙街190号
银杏家园(天心),［天心区-新开铺］竹塘路
永安宝苑,［天心区-解放西路］三兴街
湖南省机械进出口公司宿舍,［天心区-白沙路］白沙路215号
龙盛高科,［天心区-省政府］环保西路
金石蓉园,［天心区-友谊路］新韶西路
区政府宿舍,［天心区-奥特莱斯广场］白沙路241号
区教育局宿舍,［天心区-书院路］解放四村140号
龙骧佳苑,［天心区-省政府］银杏路
明城府,［天心区-白沙路］白沙路110号
黑石铺肉联厂宿舍,［天心区-新开铺］书院南路
黑石安置小区,［天心区-省政府］新联路
莲花小区,［天心区-铁道学院］芙蓉南路
南锦家园,［天心区-南湖路］沙湖街124号
金桂小区A区北片,［天心区-省政府］石碑路
金谷豪庭,［天心区-奥特莱斯广场］芙蓉南路四段168号
金桂小区B区,［天心区-省政府］豹塘路
湖南农机贸易大楼,［天心区-南门口］下碧湘街3号
湖机宿舍,［天心区-新开铺］木莲西路
金桂小区A区南片,［天心区-天心区政府］豹塘路
科学技术研究院单位房,［天心区-友谊路］青园路506号
电器研究所宿舍,［天心区-书院路］湖开路
金碧文苑,［天心区-新开铺］金盆路2号
浦沅宿舍,［天心区-奥特莱斯广场］书院南路128号
佳馨园,［天心区-省政府］芙蓉南路一段578号
佳兴公寓,［天心区-黄兴路步行街］栗茂巷12号
联运公司宿舍(南湖路金盆岭),［天心区-书院路］赤岭路
黄土岭村职工住宅,［天心区-南湖路］芙蓉中路三段356号
湖南广播电视学校老师单位房,［天心区-芙蓉南路］芙蓉南路
楠竹家园,［天心区-新开铺］猴子石路
樊西巷社区,［天心区-解放西路］人民西路
麻园塘小区,［天心区-涂家冲］芙蓉中路三段522号
金三角花园,［天心区-奥特莱斯广场］韶山南路558号
海尔鸿玺,［天心区-省政府］芙蓉南路二段252号
廻龙公寓,［天心区-奥特莱斯广场］回龙山巷1号
家兴公寓,［天心区-黄兴路步行街］洪家井街77号
机床铸造厂宿舍,［天心区-新开铺］新开铺路16号
地质队宿舍,［天心区-省政府］五凌路8号
财政厅宿舍(天心),［天心区-奥特莱斯广场］芙蓉中路
天悦鑫苑,［天心区-南湖路］书院南路
林科大西校区教工宿舍,［天心区-奥特莱斯广场］崇德路
立达湘府大厦,［天心区-仰天湖］新开铺路
个体协会宿舍,［天心区-奥特莱斯广场］白沙路170号
汇贤居,［天心区-奥特莱斯广场］林大路
铬盐场宿舍,［天心区-书院路］南湖路296号
佳广公寓,［天心区-奥特莱斯广场］向东南路168号
高云小区,［天心区-暮云］万家丽南路
工商银行宿舍(白沙路),［天心区-劳动广场］白沙路
佳龙湾,［天心区-黄兴路步行街］人民西路155号
江山如画,［天心区-南湖路］殷家冲路
成达花园,［天心区-南湖路］钟馗庙街157号
荷花村,［天心区-铁道学院］韶山南路22号
湖南化工地质工程勘察院,［天心区-新开铺］青园路4号
电池厂宿舍,［天心区-书院路］砂子塘巷12号
福满新城,［天心区-新开铺］新开铺路432号
建行宿舍(白沙路),［天心区-解放西路］芙蓉中路二段218号
枫树小区,［天心区-省政府］人民东路329号
福禄民居,［天心区-奥特莱斯广场］坡子街101号
富康小区,［天心区-长沙理工大学］书院南路
芙蓉星苑,［天心区-南湖路］芙蓉南路
城南花苑,［天心区-书院路］书院南路598号
白沙景园,［天心区-南湖路］白沙南路
湖南有色金属研究院第一生活区,［天心区-长沙理工大学］芙蓉中路三段396号
1103厂宿舍,［天心区-新开铺］新开铺路432号
安装公司宿舍,［天心区-书院路］东瓜山二条巷
