明昇壹城,［雨花区-体育新城］劳动东路821号
佳兆业8号(别墅),［雨花区-雨花周边］半山大道
雅兰小筑公寓,［雨花区-雅塘村］雅塘路239号
景芳苑公寓,［雨花区-井湾子］井湾路373号
工商银行宿舍(东塘),［雨花区-东塘］韶山中路81号
奥园誉景华府,［雨花区-时代阳光大道］时代阳光大道,近万家丽
紫薇苑,［雨花区-树木岭］园丁街38号
同升湖山庄海德公园(C区别墅),［雨花区-雨花周边］同升路
天润花园,［雨花区-左家塘］曙光中路483号
建华大厦,［雨花区-井湾子］井湾路279号
歌舞剧团宿舍,［雨花区-阿弥岭］芙蓉中路
五江天街天寓,［雨花区-树木岭］曲塘路84号
湖南工院教师公寓,［雨花区-雨花亭］韶山中路438号
星雨心苑,［雨花区-雨花区政府］香莲路99号
正园小区,［雨花区-树木岭］正园巷
远大小区,［雨花区-桔园小区］南二环441号
曲塘社区,［雨花区-树木岭］树木岭路388号
恒大上林苑,［雨花区-时代阳光大道］金海路89号
金蕾苑,［雨花区-左家塘］王公塘街197号
三重才园小区,［雨花区-东塘］韶山北路480号
马家冲小区,［雨花区-东塘］马家冲巷
赤岗冲住宅楼,［雨花区-赤岗冲］曙光中路11号
床单厂宿舍,［雨花区-赤岗冲］桂花路
湖南省女子监狱宿舍,［雨花区-井湾子］香樟路
博雅公寓,［雨花区-雨花区政府］体院北路230号
植物原著,［雨花区-时代阳光大道］植物园路
石长铁路宿舍,［雨花区-左家塘］桂花路356号
雨花雅苑,［雨花区-香樟路］体院路245号
规划局宿舍,［雨花区-高桥］怡园街60号
湖南省邮政局桂花村宿舍,［雨花区-左家塘］曙光中路123号
同升湖山庄黄金海岸(D区别墅),［雨花区-雨花周边］同升路
桔园七片,［雨花区-雨花周边］曙光南路
大为农博家园,［雨花区-红星］杉木冲东路260号
自然公寓,［雨花区-树木岭］园丁街31号
新点苑(北区),［雨花区-井湾子］曙光南路
都城康欣园,［雨花区-阿弥岭］朝晖路
华欣公寓,［雨花区-井湾子］井奎路80号
长远华樟名府,［雨花区-高桥］万家丽中路一段217号
造化塘小区,［雨花区-东塘］芙蓉中路二段293号
湖南生物药厂宿舍区,［雨花区-左家塘］桂花西路46号
汇达大厦,［雨花区-高桥］马王堆南路259号
鸿运佳苑,［雨花区-时代阳光大道］高升路92号
雅第大厦,［雨花区-东塘］劳动西路408号
红星建材交易市场,［雨花区-井湾子］中意一路364号
长房凤凰佳园,［雨花区-雨花区政府］樟东路189号
建设医院宿舍,［雨花区-梓园路］林子冲路26号
湘核新家园,［雨花区-时代阳光大道］仙岭路
长重社区2区,［雨花区-赤岗冲］东二环
省交通技校宿舍,［雨花区-东塘］劳动西路143号
小林子冲社区,［雨花区-阿弥岭］小林子冲路
长沙市工商行政管理局郊区分局宿舍,［雨花区-左家塘］营山巷21号
湖南省医疗器械宿舍,［雨花区-长岭］劳动中路101号
金昌公寓,［雨花区-赤岗冲］红花坡路71号
赤岗苑,［雨花区-赤岗冲］红花坡路123号
经济电视台宿舍,［雨花区-七里庙］芙蓉中路
红星商贸城,［雨花区-时代阳光大道］植物园路
半山公馆,［雨花区-体育新城］沙湾路89号
泰禹国际爱马仕公馆,［雨花区-东塘］砂子塘路211号
香樟兰亭(商住楼),［雨花区-树木岭］圭塘路,近香樟路
湖南省建材局,［雨花区-长岭］劳动西路483号
中盛小家碧寓,［雨花区-左家塘］官塘冲巷37-1号
馨安苑小区,［雨花区-赤岗冲］王家冲路225号
市委党校沁园小区,［雨花区-韶山南路］中意一路92号
华晨国际公馆,［雨花区-树木岭］万家丽中路二段8号
白沙啤酒公寓,［雨花区-桔园小区］新建东路13号
红星国际公寓,［雨花区-井湾子］新韶东路308号
裕天国际商汇中心,［雨花区-汽车南站］时代阳光大道西529号
四达花苑,［雨花区-左家塘］王公塘街
锻压小区,［雨花区-东塘］赤岗巷36号
印刷厂宿舍,［雨花区-赤岗冲］官塘冲巷39号
QQ生活馆,［雨花区-左家塘］曙光中路203号
长沙玻璃纤维厂宿舍,［雨花区-赤岗冲］劳动中路468号
公交小区,［雨花区-东塘］劳动中路142号
康乐花园,［雨花区-树木岭］树木岭路
红星商务楼,［雨花区-时代阳光大道］湘府东路2号
长沙教育建筑设计研究院,［雨花区-赤岗冲］军培巷48号
中扬大厦,［雨花区-阿弥岭］劳动西路377号
二十三冶小区,［雨花区-雨花周边］井湾路
建行宿舍(窑岭),［雨花区-阿弥岭］曙光中路20号
化工研究所宿舍,［雨花区-梓园路］芙蓉中路二段251号
恒大誉府,［雨花区-体育新城］万家丽中路
山水庭院C区,［雨花区-雨花区政府］洞井路
湖南省冶金材料研究所宿舍,［雨花区-香樟路］香樟路589号
湖南广播电视厅,［雨花区-东塘］黄土岭路260号
旭辉国际广场(商住楼),［雨花区-体育新城］劳动东路220号
五矿万境水岸文苑,［雨花区-红星］圭塘路
旭辉华宇南宸府,［雨花区-汽车南站］万芙北路,近桂花坪路
华悦城3-8栋,［雨花区-红星］湘府东路二段300号
石油局宿舍,［雨花区-东塘］梓园路11号
华悦城1-2栋,［雨花区-红星］圭塘路
电力宾馆宿舍,［雨花区-东塘］曹家坡路60号
新紫薇鑫园,［雨花区-高桥］怡园街161号
十五中学宿舍,［雨花区-梓园路］梓园路53号
湖工家园,［雨花区-赤岗冲］茶园坡路89号
路桥大厦,［雨花区-韶山南路］韶山南路73号
环保学校单位宿舍,［雨花区-井湾子］木莲东路468号
复地星光商业广场公寓,［雨花区-红星］湘府中路80号
建委宿舍,［雨花区-荷叶塘］曙光中路63号
恒生碧水龙庭(别墅),［雨花区-雨花周边］万家丽南路一段226号
金玉小区,［雨花区-左家塘］桂花路
天际藏玉,［雨花区-时代阳光大道］万家丽中路
华润翡翠府,［雨花区-韶山南路］曙光南路768号
月光山庄,［雨花区-体育新城］劳动东路
营山巷社区,［雨花区-左家塘］曙光中路234号
东塘瑞府(商住楼),［雨花区-东塘］韶山北路641号
清溪川9号(二期),［雨花区-雨花区政府］圭塘路
铜铝材厂单位宿舍区,［雨花区-赤岗冲］劳动东路219号
长冶小区,［雨花区-汽车南站］金莲巷19号
天凯东苑(西区),［雨花区-树木岭］自然岭路
红旗区二片,［雨花区-梓园路］梓园路
恒生药厂,［雨花区-沙子塘］红花坡路60号
点金公寓,［雨花区-长岭］韶山北路329号
美林美寓,［雨花区-体育新城］劳动东路230号
省烟曹家坡宿舍,［雨花区-东塘］曙光中路252号
通程物流小区,［雨花区-雨花亭］竹塘中路378号
远东公寓,［雨花区-窑岭南］人民中路276号
湖南省机械化施工公司宿舍区,［雨花区-井湾子］井湾路591号
厚生里,［雨花区-阿弥岭］麻园湾巷
公交新村宿舍,［雨花区-赤岗冲］曙光中路451号
中江锦城锦鸿苑,［雨花区-树木岭］东二环新雨路
高桥日化城,［雨花区-高桥］长沙大道
鑫苑木莲世家,［雨花区-树木岭］木莲东路329号
湖南省包装总公司宿舍,［雨花区-长岭］韶山北路356号
湖南华隆,［雨花区-高桥］东二环路698号
华宝公寓,［雨花区-东塘］麻园湾48号
赤岗公寓,［雨花区-砂子塘］曙光南路158号
阿弥岭铁路小区,［雨花区-荷叶塘］车站南路
武警宿舍,［雨花区-左家塘］城南东路,近车站南路
长沙印染厂宿舍,［雨花区-长岭］韶山北路367号
绿雅园,［雨花区-树木岭］曲塘路68-1号
华顺大厦,［雨花区-东塘］芙蓉中路三段275号
湖南省造纸印刷公司宿舍,［雨花区-阿弥岭］芙蓉中路二段175号
高桥家电百货城,［雨花区-高桥］高桥大市场四街11号
汽制宿舍9-13栋,［雨花区-树木岭］自然岭路235号
碧桂园南城首府(别墅),［雨花区-时代阳光大道］时代阳光大道513号
中盐勘察设计院单位房,［雨花区-雨花周边］体院路28号
五一小区,［雨花区-高桥］人民东路
长沙市天心区教师村,［雨花区-新星小区］劳动东路146号
万代公寓,［雨花区-赤岗冲］红花坡路247号
湖南工业学校单位房,［雨花区-东塘］韶山中路
湖南雨花五金机电大市场D区,［雨花区-汽车南站］高升路
V领寓,［雨花区-雨花亭］圭塘路122号
天翼花园,［雨花区-树木岭］马王堆南路769号
明大佳园,［雨花区-体育新城］新雨路,近沙湾路
万科金色麦田,［雨花区-香樟路］圭塘路498号
正荣华悦广场,［雨花区-红星］湘府路,近圭塘路
红星蔬菜批发市场,［雨花区-时代阳光大道］湘府东路
金轮星光名座(商住楼),［雨花区-体育新城］香樟路
一品嘉庭,［雨花区-高桥］东进街69号
化工研究院宿舍(梓园路),［雨花区-东塘］梓园路52号
长潭佳园(别墅),［雨花区-万家丽南路］绕城高速
平吉上苑,［雨花区-雨花区政府］丽白路38号
同升湖山庄黄金海岸(D区),［雨花区-雨花周边］同升路1号
湘水和天下,［雨花区-雨花亭］韶山南路1号
省农业银行雨花路大院,［雨花区-雨花亭］黄土岭路262号
阳光锦城(商住楼),［雨花区-雨花亭］新建东路35号
中南国际眼镜城,［雨花区-雨花周边］万家丽南路二段599号
物华大院,［雨花区-阿弥岭］曙光中路8号
香巴圣地,［雨花区-左家塘］阿弥岭路32号
雨花区少年宫宿舍,［雨花区-左家塘］人民中路332号
轻盐阳光城,［雨花区-汽车南站］高升路,近时代阳光大道
湖南交通职院宿舍,［雨花区-韶山南路］韶山南路
湖南美术出版社,［雨花区-高桥］东二环一段622号
康苑小区,［雨花区-雨花亭］新建巷52号
白云商住楼,［雨花区-树木岭］劳动中路605号
丰园城丰祥苑,［雨花区-洞井铺］万芙南路299号
省政府机关宿舍梓园住宅小区,［雨花区-红旗药号］梓园路397号
雨花家园和雅苑,［雨花区-雨花区政府］香莲路165号
烟草宿舍(城南东路),［雨花区-荷叶塘］城南东路
高升时代广场(商住楼),［雨花区-汽车南站］中意一路
绿地之窗(商住楼),［雨花区-洞井铺］黎托路
三重大厦,［雨花区-东塘］韶山北路484号
红星国际公馆,［雨花区-阿弥岭］新韶东路308号
中航工业长沙院,［雨花区-香樟路］香樟路254号
湘博楼,［雨花区-井湾子］芙蓉南路150号
中建五局机关大院,［雨花区-井湾子］中意一路149号
省林机厂宿舍北院,［雨花区-井湾子］竹塘中路376号
大唐公寓,［雨花区-圭塘］万家丽中路
红旗区五片,［雨花区-雅礼中学］芙蓉中路
绿地新都会佳苑,［雨花区-万家丽南路］万家丽南路,近环保中路
长沙银行单位房,［雨花区-砂子塘］劳动东路228号
曙光南路茶馆屋,［雨花区-曙光路口］曙光南路37号
窑岭东村,［雨花区-左家塘］王公塘街
上河国际商业广场A区,［雨花区-朝晖路］万家丽路一段358号
红花坡官南小区,［雨花区-赤岗冲］桂花路298号
香樟鑫都(商住楼),［雨花区-香樟路］圭塘路264号
友兴家园,［雨花区-树木岭］政修路,近新雨路
中天星耀城(商住楼),［雨花区-雨花区政府］体院路10号
华凌大厦,［雨花区-东塘］芙蓉南路306号
五矿万境园(别墅),［雨花区-时代阳光大道］湘府东路
桂花二村51-52栋宿舍,［雨花区-左家塘］曾家湾巷69号51-52栋
正旺U公馆,［雨花区-红星］韶山南路
方正证券商住楼,［雨花区-雨花亭］新建西路1号
长沙市妇幼保健院单位宿舍,［雨花区-阿弥岭］城南东路416号
市政公司宿舍,［雨花区-桂花公园］曙光中路350号
同升湖山庄马田广场(B区),［雨花区-雨花周边］同升路
湖南省煤炭科学研究院单位房,［雨花区-雨花区政府］井湾路
大华宿舍,［雨花区-东塘］劳动路
广铁六公司宿舍,［雨花区-阿弥岭］人民中路720号
长沙市烟草专卖局单位房,［雨花区-砂子塘］黄土岭路181号
左家塘华天宿舍,［雨花区-左家塘］城南东路294号
中国人保宿舍,［雨花区-左家塘］城南东路291号
嘉园官北,［雨花区-荷叶塘］红花坡路
天际山庄,［雨花区-洞井铺］洞井路
瑞景苑,［雨花区-雨花区政府］木莲东路
保利茉莉公馆(商住楼),［雨花区-圭塘］万家丽中路,近香樟路
湖南中医学院梨子山宿舍楼,［雨花区-砂子塘］运动巷29号
茶园坡送变电宿舍,［雨花区-雨花亭］劳动中路446号
正荣悦玺(商住楼),［雨花区-树木岭］东二环一段284号
华晨商业广场,［雨花区-树木岭］万家丽中路二段8号
石油小区,［雨花区-东塘］劳动中路214号
红旗区机械研究所宿舍,［雨花区-红旗药号］梓园路491号
湖南文艺出版社宿舍,［雨花区-高桥］东二环一段506号
上王家冲小区,［雨花区-韶山中路］曙光南路218号
至雅小玲佳园,［雨花区-沙子塘］长沙大道778号
国税五分局桔园宿舍,［雨花区-新中路立交桥］韶山中路
麻园湾测试所宿舍,［雨花区-小林子冲］052县道
星城佳园,［雨花区-香樟路］香樟路528号
湘怡佳园,［雨花区-时代阳光大道］万侯路
地泰人民公馆(商住楼),［雨花区-人民路］人民中路72号
涟源百货城,［雨花区-时代阳光大道］中意一路583号
兴旺双铁城,［雨花区-树木岭］树木岭路16号
苎麻小区,［雨花区-赤岗冲］曙光南路70号
新城农博公寓,［雨花区-红星］杉木冲东路228号
曙光路友阿宿舍,［雨花区-左家塘］曙光中路99号
高桥火焰文体批发大市场,［雨花区-高桥］民主路
航空三院,［雨花区-井湾子］香樟路004号
湖南省林勘院东塘宿舍,［雨花区-东塘］韶山北路
长沙电机厂宿舍,［雨花区-砂子塘］韶山中路
小天鹅宿舍楼,［雨花区-左家塘］城南东路386号
南大公寓,［雨花区-东塘］下麻园湾39号
红星大厦,［雨花区-洞井铺］韶山路,近湘府路
省有色冶金劳保所宿舍,［雨花区-圭塘］圭塘路
中建五局三公司宿舍,［雨花区-井湾子］井湾路020号
五峰国际,［雨花区-香樟路］洞井中路476号
水岸天际(商住楼),［雨花区-红星］湘府东路108号
长房天翼未来城(商住楼),［雨花区-长岭］曙光中路302号
红星水果批发城,［雨花区-时代阳光大道］洞井路
中国人民财产保险股份公司宿舍,［雨花区-左家塘］城南东路287号
野坡社区,［雨花区-赤岗冲］劳动中路
长沙橡胶厂宿舍,［雨花区-井湾子］井湾路495号
长钢宿舍小区,［雨花区-阿弥岭］曙光中路
永祥小区(E区),［雨花区-阿弥岭］人民东路
永祥小区(D区),［雨花区-高桥］马王堆南路
环保局宿舍,［雨花区-左家塘］城南东路117号
白沙家园嘉城小区,［雨花区-雨花亭］韶山中路814号
燕果塘小区,［雨花区-砂子塘］砂子塘路,近韶山中路
高桥农副产品商贸城,［雨花区-高桥］民主路
煤炭设计院宿舍,［雨花区-左家塘］窑岭村巷78号
长沙城市建设开发公司宿舍,［雨花区-雨花亭］桔园路11号
湖南省新轻联宿舍,［雨花区-荷叶塘］桂花路156号
平阳小区,［雨花区-体育新城］劳动东路,近潭白北路
韶山路附141号小区,［雨花区-雨花亭］韶山路附141号
韶山路141号小区,［雨花区-雨花亭］韶山南路201号
金井二期,［雨花区-万家丽南路］万家丽南路,近振华路
永安宝第,［雨花区-雅礼中学］芙蓉中路323号
橡鞋小区,［雨花区-东塘］曹家坡路48号
湖南省地质环境监测总站,［雨花区-东塘］麻园湾40号
雨花亭派出所宿舍,［雨花区-井湾子］井湾路
金地香樟悦府,［雨花区-雨花亭］曙光南路800号
神农建行宿舍,［雨花区-雨花亭］芙蓉中路259号
地科家园,［雨花区-东塘］城南中路205号
同升湖实验学校教师公寓,［雨花区-雨花周边］支路同二路
兴和佳苑,［雨花区-汽车南站］万芙中路,近时代阳光大道
竹山塘小区,［雨花区-洞井铺］时代阳光大道165号
磷矿宿舍,［雨花区-东塘］南大路86号
稀土院宿舍,［雨花区-圭塘］香樟路
星城新宇川河苑,［雨花区-沙子塘］川河路,近红旗路
新城雅苑,［雨花区-圭塘］体院路
解放东路建行宿舍,［雨花区-左家塘］解放东路49号
长沙市园林规划设计院,［雨花区-左家塘］曙光中路85
左家塘二建小区,［雨花区-左家塘］曙光中路71号
纯居民小区,［雨花区-东塘］曹家坡巷
长线局宿舍,［雨花区-雨花亭］桔园路270号
韶山中路760号楼,［雨花区-雨花亭］韶山中路760号
温馨苑,［雨花区-左家塘］窑岭村巷37号
二十三冶建设公司宿舍,［雨花区-雨花亭］桔园路342号
钢铝材厂家属区,［雨花区-体育新城］航空路003号
荣安大楼,［雨花区-东塘］城南中路
长沙农村商业银行宿舍,［雨花区-左家塘］韶山北路310号
曙光中路195号小区,［雨花区-左家塘］曙光中路195号
中国铁建18公馆,［雨花区-井湾子］中意一路57号
黎托公寓安置房,［雨花区-体育新城］沙湾路
基础公司宿舍,［雨花区-左家塘］城南东路
光大银行宿舍小区,［雨花区-左家塘］人民中路218号
公路局应急中心单位房,［雨花区-砂子塘］曙光南路132号
爱地林苑,［雨花区-雨花亭］竹塘中路
和太坪小区,［雨花区-洞井铺］金海路
高桥大市场新太平街7区,［雨花区-高桥］华洋路,近绿城路
利璞金立方,［雨花区-雨花区政府］万家丽中路三段186号
广铁集团公司长沙铁路地区单身宿舍,［雨花区-荷叶塘］桂花路516号
省建五公司长沙基地,［雨花区-圭塘］体院路229号
雨花亭乡政府宿舍,［雨花区-雨花亭］韶山中路693号
石马铺自建房,［雨花区-韶山南路］南二环,近曙光路
食品药品职业学院宿舍,［雨花区-体育新城］体院路510号
工贸学校宿舍,［雨花区-树木岭］树木岭路57号
自元小区,［雨花区-树木岭］劳动东路185号
人民中路426号小区,［雨花区-荷叶塘］人民中路426号
石燕湖村上湾组自建房,［雨花区-雨花周边］049县道
蔬菜种子公司宿舍,［雨花区-荷叶塘］人民中路458号
湘泽苑,［雨花区-荷叶塘］窑岭村巷巷82号
天华寄宿制学校教师宿舍,［雨花区-洞井铺］天华路
曙光南路24号小区,［雨花区-曙光路口］曙光南路24号
长岭上街189号小区,［雨花区-左家塘］长岭上街189号
环保科技大院,［雨花区-雨花区政府］井湾路889号
永定小区,［雨花区-朝晖路］人民东路108号
赛福尔公寓,［雨花区-左家塘］王公塘30号
长沙市外国语学校职工宿舍,［雨花区-荷叶塘］曾家湾巷31号
同兴公寓,［雨花区-左家塘］韶山北路355号
曙光路综合安置楼,［雨花区-曙光路］曙光中路266号
五金矿产进出口公司宿舍,［雨花区-左家塘］曙光中路192号
市城市公用设施开发公司宿舍,［雨花区-荷叶塘］城南东路
省植物园小区,［雨花区-洞井铺］天华路
原广播电视学校宿舍,［雨花区-东塘］曹家坡路24号
玉竹家园,［雨花区-雨花区政府］杨子路
省肉食水产总公司宿舍,［雨花区-红旗药号］爱民巷29号
雨花亭街道办事处宿舍,［雨花区-新中路立交桥］南二环二段20号
左家塘社区,［雨花区-左家塘］曙光中路108号
智慧小区,［雨花区-赤岗冲］红花坡路
红星人才楼,［雨花区-井湾子］井湾路258号
轻奢时代,［雨花区-洞井铺］时代阳光大道西388号
华银小区,［雨花区-东塘］韶山北路
蕙馨楼,［雨花区-新中路立交桥］韶山中路754号
莱特尔事业集团小区,［雨花区-左家塘］妹子山街50号
湖南歌舞剧院小区,［雨花区-荷叶塘］人民中路274号
保利城,［雨花区-万家丽南路］时代阳光大道489号
建材公司宿舍,［雨花区-桂花公园］车站南路507号
嘉园社区,［雨花区-赤岗冲］红花坡路185号
长沙市公路管理局城郊分局宿舍,［雨花区-雨花亭］长沙市雨花区韶山中路732号
曾家湾小区,［雨花区-荷叶塘］曾家湾巷80号
轻工设计院小区,［雨花区-井湾子］中意一路67号
鄱阳佳郡,［雨花区-万家丽南路］黄谷路
碧翠园,［雨花区-树木岭］东山路1号
融信澜悦,［雨花区-汽车南站］万芙中路539号
圭塘三小区,［雨花区-树木岭］劳动东路,近自然岭路
中商大厦,［雨花区-窑岭南］韶山北路298-6号
鹏程府,［雨花区-左家塘］曙光中路55号
人民中路220号小区,［雨花区-左家塘］人民中路220号
浦沅生活(一区),［雨花区-雨花亭］芙蓉中路,近南二环
和立星雅苑,［雨花区-树木岭］树木岭路330号
曙光南路24号办公楼,［雨花区-雨花亭］曙光南路24号
新塘冲巷54号小区,［雨花区-雨花亭］新塘冲巷54号
燕果塘,［雨花区-东塘］砂子塘路
农行宿舍,［雨花区-雨花亭］白沙中路212号
送变电宿舍(雨花区),［雨花区-韶山南路］香樟路97号
国际创新城,［雨花区-雨花周边］振华路519号
省外经委宿舍,［雨花区-长岭］城南中路17号
桃花塅小区,［雨花区-时代阳光大道］万芙路,近万家丽南路
高桥老二号小区,［雨花区-树木岭］湖南省长沙市马王堆南路居然之家对面
红星安置小区,［雨花区-井湾子］井圭路146号
创元时代,［雨花区-红星］万家丽中路,近湘府东路
雨花区教育办宿舍,［雨花区-雨花亭］新丰路1号
芒果天地(商住楼),［雨花区-赤岗冲］车站南路171号
东塘大厦,［雨花区-左家塘］韶山北路440号
凯宾商业广场,［雨花区-东塘］韶山中路419号
星城新宇黎雅苑,［雨花区-洞井铺］花侯路
龙凤小区,［雨花区-洞井铺］黎托街道1巷
高桥新二号小区,［雨花区-高桥］万家丽路
大桥安置房(四区),［雨花区-万家丽中路］大桥路,近沙湾路
星城新宇颐景苑,［雨花区-树木岭］航空路22号
高桥一号小区,［雨花区-高桥］马王堆南路
桔香花庭,［雨花区-雨花亭］桔园路
惠民锦园,［雨花区-赤岗冲］劳动中路,近东二环
星城新宇莲景苑,［雨花区-红星］井莲路
嘉福长安郡(商住楼),［雨花区-汽车南站］万芙北路439号
铭诚国际,［雨花区-高桥］人民东路46号
高升时代广场,［雨花区-汽车南站］中意一路
湖南省委党校生活区,［雨花区-韶山南路］香樟路442号
天下一家嘉园,［雨花区-高桥］人民东路
新塘垅小区,［雨花区-树木岭］桂友路
新塘垅小区,［雨花区-树木岭］石坝路
高桥医药流通园,［雨花区-万家丽中路］万家丽中路
中南家园(西区),［雨花区-雨花区政府］体院北路
雅塘新居,［雨花区-阿弥岭］雅塘村巷49-1号
长沙市规划设计院宿舍,［雨花区-左家塘］长鑫巷19号
红星怡景苑,［雨花区-井湾子］臻和路229号
叠彩兰亭,［雨花区-树木岭］南二环一段55号
二十一中宿舍,［雨花区-雨花亭］新建西路47号
长沙机务段单身宿舍,［雨花区-阿弥岭］桂花路附385号
化肥宿舍,［雨花区-阿弥岭］韶山路
御溪国际,［雨花区-红星］迎新路499号
星城新宇桃花苑,［雨花区-时代阳光大道］金海路
红星电脑电器城,［雨花区-时代阳光大道］韶山路,近湘府东路
大塘公寓小区,［雨花区-新星小区］万家丽中路三段168号
紫薇鑫园,［雨花区-高桥］怡园街161号
紫薇嘉园,［雨花区-高桥］西子街68号
自然小区,［雨花区-树木岭］自然岭路99号
依星苑,［雨花区-左家塘］妹子山巷
职防院小区,［雨花区-东塘］雨花路
紫云轩,［雨花区-东塘］曹家坡路71号
长沙市中级人民法院法官公寓,［雨花区-阿弥岭］劳动中路
中豪城南时代,［雨花区-汽车南站］万芙南路
至雅大厦,［雨花区-高桥］长沙大道566号
长沙物贸赤岗宿舍,［雨花区-桂花公园］阿弥岭路
中铁二十五局小区,［雨花区-阿弥岭］人民中路
拿铁空间,［雨花区-雨花亭］湘银巷21-1号
中扬国际,［雨花区-汽车南站］杉木冲路325号
中级人民法院宿舍,［雨花区-阿弥岭］曙光中路298号
锡安中心,［雨花区-阿弥岭］韶山北路270号
稀土研究院宿舍,［雨花区-井湾子］圭塘路
长沙仪器厂家属区,［雨花区-阿弥岭］井湾路967号
长沙电影城宿舍,［雨花区-左家塘］人民中路170号
省食品公司宿舍,［雨花区-阿弥岭］麻园湾巷71-75号
省杂技团宿舍,［雨花区-东塘］韶山北路432号
十一中学单位宿舍,［雨花区-长岭］城南中路
阳光小镇,［雨花区-雨花亭］韶山中路558号
未教所人和苑,［雨花区-阿弥岭］体院路500号
中建木莲工社,［雨花区-井湾子］木莲中路168号
长丰源,［雨花区-树木岭］雅塘路179号
省中医药大学宿舍,［雨花区-东塘］韶山中路113号
乡镇公寓,［雨花区-阿弥岭］芙蓉中路三段457号
长沙市道路绿化管理处宿舍,［雨花区-长岭］韶山北路284号
省质检局宿舍,［雨花区-雨花亭］新建西路
中江丽晶苑,［雨花区-雨花亭］新建西路126号
长塘安置小区,［雨花区-雨花区政府］万家丽中路
樟树屋小区,［雨花区-树木岭］香樟路
长建金寓东方,［雨花区-高桥］东二环一段547号
长塘里小区,［雨花区-王家冲］长塘里巷
星城新宇黎锦苑,［雨花区-体育新城］花侯路
中南博远大厦,［雨花区-雨花周边］香樟东路30号
旺盛佳园,［雨花区-阿弥岭］雅塘路138号
月雅苑,［雨花区-雨花区政府］沙湾路
长城花园,［雨花区-左家塘］城南东路209号
燕兴小区,［雨花区-阿弥岭］曙光中路49号
梓园花苑,［雨花区-梓园路］梓园路486号
中南林业勘测院宿舍,［雨花区-雨花区政府］香樟东路16号
政华嘉园,［雨花区-东塘］曹家坡路56号
山青水秀,［雨花区-阿弥岭］洞株路
兴旺正佳广场,［雨花区-体育新城］万家丽中路
省轻工建设公司小区,［雨花区-赤岗冲］曙光中路26号
时代星座,［雨花区-雨花亭］韶山中路529号
长鑫花园,［雨花区-雨花周边］港桂街33号
省歌舞剧院宿舍,［雨花区-窑岭南］人民中路248号
省人大宿舍,［雨花区-东塘］韶山中路190号
长沙市老干部休养所,［雨花区-雨花亭］砂子塘路137号
省人民广播电台宿舍,［雨花区-东塘］黄土岭路258号
政院社区,［雨花区-阿弥岭］芙蓉中路
宇洋东海,［雨花区-长岭］韶山北路399号
盛德碧瑞庭,［雨花区-阿弥岭］中意路28号
五凌公司职工宿舍,［雨花区-雨花亭］运动巷54号
社区春风二栋,［雨花区-左家塘］曙光中路157号
天际岭山庄,［雨花区-时代阳光大道］湘府东路
省工商联宿舍,［雨花区-阿弥岭］梨园巷5号
天华小区,［雨花区-韶山南路］湘府东路
瑞龙阁,［雨花区-东塘］劳动西路426号
省工商银行宿舍,［雨花区-阿弥岭］梓园路77号
万里时代广场,［雨花区-雨花区政府］香樟东路299号
省税务局宿舍,［雨花区-阿弥岭］芙蓉中路
天际绿洲,［雨花区-万家丽南路］万家丽南路197号
水院家园,［雨花区-东塘］电院街21号
省计生委宿舍,［雨花区-高桥］马王堆南路80号
山水霖城,［雨花区-新星小区］植物园路111号
湘江建设开发有限公司宿舍,［雨花区-东塘］城南中路
铭轩商住楼,［雨花区-高桥］怡园街60号
三零一佳园,［雨花区-汽车南站］中意一路977号
信用合作社单位房,［雨花区-荷叶塘］韶山北路
新塘垅小区,［雨花区-树木岭］马王堆南路
瑞都御园项目,［雨花区-井湾子］香樟路
潇湘上品,［雨花区-东塘］高升路
市政宿舍(东塘),［雨花区-长岭］劳动东路177号
湘图大厦,［雨花区-人民路］人民中路182号
同升湖山庄豪世潍E区,［雨花区-雨花周边］同升路
芒果天地,［雨花区-东塘］车站南路171号
同升湖山庄奥运村(A区),［雨花区-雨花周边］同升路
轻安苑,［雨花区-赤岗冲］红花坡路
天龙商住楼,［雨花区-阿弥岭］人民中路454号
牛头小区,［雨花区-韶山南路］圭白路
人民检察院家属宿舍,［雨花区-东塘］桂花路158号
新兴社会安置小区,［雨花区-新星小区］时代阳光大道528号
农业银行宿舍,［雨花区-砂子塘］韶山中路570号
万发宿舍,［雨花区-树木岭］树木岭路19号
寿星公寓,［雨花区-东塘］芙蓉中路三段331号
汽制宿舍1-8栋,［雨花区-树木岭］正圆巷
人民政府宿舍(雨花),［雨花区-东塘］马家冲巷14号
赛富尔公寓,［雨花区-左家塘］曙光中路
湘凯综合楼,［雨花区-雨花亭］新建西路117号
金沙园小区,［雨花区-王家冲］王家冲路89号
裕华名苑,［雨花区-砂子塘］雨花路
湖南建材机械厂宿舍,［雨花区-赤岗冲］茶园坡路145号
湖南省机械研究所肖家坡宿舍,［雨花区-长岭］韶山北路
湖南行政学院生活区,［雨花区-井湾子］香樟路442号
湖南教育电视台,［雨花区-雨花亭］新建西路
庆海小区,［雨花区-雨花亭］新塘冲巷30号
金鸿宇,［雨花区-高桥］朝晖路55号
四星小区,［雨花区-井湾子］木莲中路267号
桃花古潭小区,［雨花区-左家塘］万家丽南路
美丽星城,［雨花区-高桥］雨花大道
天下一家,［雨花区-高桥］东二环
