绿城青竹园,［开福区-四方坪］青竹湖路222号
祥瑞家园,［开福区-八一桥］湘春路43号
益安公寓,［开福区-开福区政府］福元西路
长沙医药健康产业园,［开福区-开福周边］中青路1048号
金帆大厦,［开福区-八一桥］芙蓉中路一段522号
兔子坡生活小区,［开福区-开福区政府］开福大道,近楚家湖路
一六三家园,［开福区-广电中心］东二环
通泰街商住楼,［开福区-湘江中路］湘江中路,近营盘路
珠江郦城璞墅,［开福区-开福区政府］渔业路,近芙蓉北路
新运街13号小区,［开福区-八一桥］新运街13号
德雅路61号小区,［开福区-东风路］德雅路61号
泰阳宿舍,［开福区-八一桥］楚家湖路231号
九家湾华侨公寓,［开福区-湘江中路］湘江中路一段79号
网船班小区,［开福区-开福区政府］迎霞路
南航单位宿舍,［开福区-四方坪］三一大道310号
如意综合楼,［开福区-湘江中路］春风街7号
湖南中移通信技术工程有限公司宿舍,［开福区-四方坪］三一大道357号
先福安置小区(A区),［开福区-四方坪］双拥路
月湖小区(二区),［开福区-广电中心］匍园路
国庆新村二片,［开福区-伍家岭］沙湖桥街
国庆新村三片,［开福区-伍家岭］沙湖桥街
国庆新村四片,［开福区-伍家岭］沙湖桥街
梦泽园美美公馆,［开福区-四方坪］三一大道
房产公司宿舍,［开福区-伍家岭］上麻园岭293号
新华出版社宿舍,［开福区-松桂园］公字惜庄巷
和平花园(别墅),［开福区-湘江世纪城］迎霞路96号
凯乐楚源,［开福区-伍家岭］徒岭路
山语城(二期别墅),［开福区-山语城］芙蓉北路386号
太阳星城(别墅),［开福区-山语城］青竹湖大道699号
黑石渡医院宿舍,［开福区-浏阳河路］德雅路1025号
君泰城市快线,［开福区-四方坪］德雅路329号
旺德府恺悦国际,［开福区-广电中心］三一大道485号
长沙市食品药品监督管理局,［开福区-松桂园］戥子桥69号
富雅里,［开福区-松桂园］湘春路
中山大厦,［开福区-中山亭］中山路222号
兴汉大厦,［开福区-松桂园］蔡锷北路411号
省展览馆宿舍,［开福区-松桂园］营盘东路19号
宜家湘颂,［开福区-四方坪］陡岭路152号
周南生活园,［开福区-山语城］芙蓉北路
兴联母山小区,［开福区-山语城］芙蓉北路
先福安置小区(B区),［开福区-四方坪］双拥路
竹隐村,［开福区-四方坪］兴联路
银港佳园,［开福区-松桂园］芙蓉北路一段200号
公园一号,［开福区-开福区政府］渔业路,近支路二
兴隆小区,［开福区-开福区政府］裕城路
中岭小区,［开福区-开福周边］北二环
盐道坪第三小区,［开福区-八一桥］盐道坪巷
月湖小区(一区),［开福区-月湖公园］匍园路
兴通商住楼,［开福区-王家垅］东风路
望麓大厦,［开福区-四方坪］戥子桥2号
轩辕殿小区,［开福区-八一桥］仓后街73号
新运公寓,［开福区-兴汉门］东兴园巷2号
市发改委宿舍,［开福区-东风路］福乐巷39号
紫荆花园,［开福区-四方坪］红领巾巷35号
兴业银行宿舍,［开福区-松桂园］东风路
羽绒厂宿舍,［开福区-四方坪］德雅路1051号
元盛世家,［开福区-松桂园］戥子桥27-29号
兴联社区创新小区,［开福区-开福周边］芙蓉北路
明月商贸城,［开福区-松桂园］藩城堤街
税务局宿舍,［开福区-松桂园］东风路五条巷
新领地公寓,［开福区-伍家岭］华章路9号
向家湾小区,［开福区-八一桥］兴联路
湘粤小区,［开福区-山语城］太阳山路
神箭花苑,［开福区-伍家岭］陡岭路36号
新铁路宿舍,［开福区-八一桥］国庆巷99号
营盘路50号小区,［开福区-八一桥］寿星街
市政协宿舍,［开福区-松桂园］东风路340号
湘涂宿舍,［开福区-伍家岭］胜利街26号
人民检察院住宅小区,［开福区-开福区政府］芙蓉北路
汽车城宿舍,［开福区-松桂园］东风路340号
毛巾厂宿舍,［开福区-四方坪］德雅路1290号
汽电宿舍,［开福区-下大垅］东风路
太阳山小区,［开福区-伍家岭］太阳山路
太阳星城,［开福区-伍家岭］青竹湖大道699号
湘瓷宿舍,［开福区-伍家岭］七条巷
塞纳公馆,［开福区-湘江世纪城］秀峰路
湘瓷厂住宅小区,［开福区-伍家岭］伍家岭路
三一大道国税局小区,［开福区-四方坪］三一大道269号
月湖大市场(D区),［开福区-三一大道］栏山路
月湖大市场(E区),［开福区-三一大道］栏山路
陡岭小区,［开福区-伍家岭］陡岭路89号
月湖大市场A片,［开福区-三一大道］万家丽北路中段218号
湖南省交通规划勘察设计院八一路宿舍,［开福区-伍家岭］八一路474号
欧陆经典,［开福区-松桂园］湘江中路208号
月湖大市场(B区),［开福区-广电中心］栏山路
金垅嘉园,［开福区-伍家岭］下大垅180号
月湖大市场(C区),［开福区-广电中心］栏山路
龙湾1号公馆,［开福区-开福区政府］福元西路108号
湘丰宾馆宿舍,［开福区-伍家岭］潘家坪路49号
玲珑阁,［开福区-伍家岭］芙蓉北路二段60号
三江养生美墅,［开福区-开福区政府］芙蓉北路
湖南金蜂音像出版社宿舍,［开福区-松桂园］德雅路542号
金象家园,［开福区-四方坪］东风路
刘家冲公寓,［开福区-东风路］东风路460号
荷叶小区,［开福区-山语城］天鹅大道
湖南六建伍家岭小区,［开福区-伍家岭］丽臣路75号
苹果派,［开福区-四方坪］三一大道
丽都苑,［开福区-伍家岭］三一大道
佳英综合楼,［开福区-松桂园］德雅路1212号
宏金花园,［开福区-通泰街］潮宗街92号
水岸兰庭,［开福区-马厂］福城路99号
二轻宿舍,［开福区-伍家岭］潮宗街36号
动力南院,［开福区-华夏路］新河路259号
中国银行宿舍,［开福区-新河路］东风一村六条巷
金鼎消防器材公司宿舍,［开福区-伍家岭］陡岭路
电塑宿舍,［开福区-八一桥］德雅路325号
德馨雅苑,［开福区-八一桥］浏河村巷38号
金汇公寓,［开福区-松桂园］寿星街100号
法苑小区,［开福区-开福周边］华章路
聚福园,［开福区-松桂园］大王家巷144号
电信单位房,［开福区-松桂园］戥子桥巷66号
老休所,［开福区-八一桥］油铺街70号
六堆子小区,［开福区-松桂园］六堆子巷
海棠小区,［开福区-开福区政府］福元西路
佳欣苑,［开福区-四方坪］七条巷
刀剪厂宿舍,［开福区-开福区政府］楚家湖路328号
衡清里,［开福区-八一桥］戥子桥巷
湖南省工商局宿舍,［开福区-伍家岭］如意街44号
鸿福园,［开福区-伍家岭］毛家桥路
冷库宿舍,［开福区-东风路］东风路
洪西小区,［开福区-洪山桥］洪山路
新河社区排水宿舍,［开福区-伍家岭］开福寺路
黎明艺术家园,［开福区-开福区政府］捞刀河北路
聚英阁,［开福区-伍家岭］福乐巷46号
广阔大厦,［开福区-松桂园］中山路222号
和平花园,［开福区-开福区政府］迎霞路96号
机务公寓,［开福区-东风路］红领巾巷29号
疾控中心宿舍,［开福区-八一桥］芙蓉中路
汇龙公寓,［开福区-伍家岭］东风路510号
豪菲斯国际公寓,［开福区-伍家岭］芙蓉中路一段15号
鸿图金霞银座,［开福区-伍家岭］芙蓉北路,近北二环
江滨社区7号重建小区,［开福区-开福区政府］金马路
红墙巷,［开福区-湘江中路］东兴园巷67号
绸厂宿舍,［开福区-省博物馆］东风路2号
红商小区,［开福区-四方坪］双拥街
华龙公馆,［开福区-四方坪］车站北路356号
江景华府,［开福区-八一桥］双河路79号
大塘小区,［开福区-八一桥］捞霞公路
江南苑,［开福区-伍家岭］芙蓉北路
科大佳园南苑,［开福区-四方坪］双拥路596号
华侨公寓,［开福区-八一桥］戥子桥巷3号
科大景园,［开福区-四方坪］徳雅路1116号
第一医院宿舍,［开福区-松桂园］营盘路311号
国庆新村一片,［开福区-伍家岭］国庆巷
赐闲湖小区,［开福区-八一桥］营盘路
工艺美术馆单位宿舍,［开福区-伍家岭］三一大道156号
富雅花园,［开福区-松桂园］雅坪巷13号
翠园小区,［开福区-广电中心］山月路310号
福源公寓,［开福区-开福寺］开福寺路109号
金座雅居,［开福区-湘江中路］幸福桥巷128号
福兴阁,［开福区-伍家岭］东风路
华昌地产单位房,［开福区-松桂园］德雅路804号
福嘉园,［开福区-四方坪］东二环二段632号
湖南省总工会大院,［开福区-松桂园］民主东街11号
湖南省科协宿舍区,［开福区-清水塘］营盘东路
富湘园,［开福区-伍家岭］毛家桥39号
奥克大厦,［开福区-松桂园］体育馆路1号
枫林小区(开福),［开福区-伍家岭］芙蓉中路一段28号
宝安综合楼,［开福区-湘江中路］芙蓉中路一段302号
